time,types,gs,PAR,WS,VPD,CRH,CT,LT,STtop,STbottom,SM
2022/7/3 00:51,SAH1,6.3,0,4.53,0.993661866,27.9388,73.2494,27.8,28.22111111,26.98888889,0.086
2022/7/3 00:53,SAH1,7.8,0,1.51,0.994157914,27.9174,73.2036,27.8,28.22111111,26.98888889,0.086
2022/7/3 00:55,SAH1,11.5,0,3.02,0.987699389,27.8959,73.5439,27.7,28.19611111,26.98888889,0.086
2022/7/3 01:30,SAH1,7.6,0,1.51,0.923072299,27.2954,76.8215,27.1,28.12222222,26.91611111,0.0853
2022/7/3 01:31,SAH1,11.9,0,1.01,0.91786737,27.2954,77.1389,27,28.12222222,26.91611111,0.0853
2022/7/3 01:32,SAH1,12.5,0,1.51,0.917787771,27.2525,77.1115,27.1,28.12222222,26.91611111,0.0853
2022/7/3 02:32,SAH1,14.1,0,4.03,0.858253403,26.845,80.621,26.6,27.99777778,26.79277778,0.0845
2022/7/3 02:32,SAH1,14.4,0,4.03,0.858253403,26.845,80.621,26.6,27.99777778,26.79277778,0.0845
2022/7/3 02:34,SAH1,17.2,0,3.52,0.85644084,26.8665,80.7553,26.6,27.99777778,26.79277778,0.0845
2022/7/3 03:31,SAH1,8.5,0,3.02,0.823339819,26.6305,82.8641,26.6,27.875,26.67111111,0.0845
2022/7/3 03:32,SAH1,12.2,0,2.01,0.822267363,26.6305,82.9389,26.6,27.875,26.67111111,0.0845
2022/7/3 03:33,SAH1,8.2,0,3.52,0.821107901,26.6091,83.0076,26.6,27.875,26.67111111,0.0838
2022/7/3 04:30,SAH1,9.3,0,3.52,0.782422996,26.2016,85.5802,26.1,27.80111111,26.62222222,0.0838
2022/7/3 04:31,SAH1,13.1,0,2.52,0.781601834,26.223,85.6519,26.1,27.80111111,26.62222222,0.0838
2022/7/3 04:33,SAH1,9.3,0,1.51,0.779391367,26.223,85.8167,26.1,27.80111111,26.62222222,0.0838
2022/7/3 05:29,SAH1,15.8,25,3.02,0.789790808,26.416,85.1438,26.6,27.77611111,26.57277778,0.0831
2022/7/3 05:30,SAH1,18.2,60,3.52,0.792321169,26.4375,84.9699,26.6,27.77611111,26.57277778,0.0831
2022/7/3 05:31,SAH1,10.6,60,3.02,0.790831303,26.3946,85.0568,26.7,27.77611111,26.57277778,0.0831
2022/7/3 06:20,SAH1,11.4,284,1.01,0.817372886,27.1667,83.5782,27.6,27.97388889,26.62222222,0.0824
2022/7/3 06:21,SAH1,17.6,290,1.01,0.822221678,27.2096,83.2685,27.7,27.97388889,26.62222222,0.0831
